domain,feature,feature_class,mean_normalized_gain,sd_normalized_gain,min_normalized_gain,max_normalized_gain,rank
crispron_xiang_luo,guide_pos_5_C,spacer_position_one_hot,0.00213322029035,0,0.00213322029035,0.00213322029035,161
crispron_xiang_luo,guide_pos_8_T,spacer_position_one_hot,0.00211726976829,0,0.00211726976829,0.00211726976829,162
crispron_xiang_luo,k3_GAC,global_kmer_frequency,0.0021058122887,0,0.0021058122887,0.0021058122887,163
crispron_xiang_luo,k3_CGA,global_kmer_frequency,0.00209302586601,0,0.00209302586601,0.00209302586601,164
crispron_xiang_luo,gc_3prime_context,gc_regional_and_skew,0.00203345219146,0,0.00203345219146,0.00203345219146,165
crispron_xiang_luo,guide_pos_8_G,spacer_position_one_hot,0.00202676489727,0,0.00202676489727,0.00202676489727,166
crispron_xiang_luo,k3_ATG,global_kmer_frequency,0.0020054439678,0,0.0020054439678,0.0020054439678,167
crispron_xiang_luo,k3_GTC,global_kmer_frequency,0.00200513080849,0,0.00200513080849,0.00200513080849,168
crispron_xiang_luo,guide_pos_8_A,spacer_position_one_hot,0.00200061060113,0,0.00200061060113,0.00200061060113,169
crispron_xiang_luo,guide_pos_11_C,spacer_position_one_hot,0.00199979458611,0,0.00199979458611,0.00199979458611,170
crispron_xiang_luo,gc_5prime_context,gc_regional_and_skew,0.00197901542834,0,0.00197901542834,0.00197901542834,171
crispron_xiang_luo,guide_pos_3_A,spacer_position_one_hot,0.00196393860854,0,0.00196393860854,0.00196393860854,172
crispron_xiang_luo,k3_GTT,global_kmer_frequency,0.00192218403429,0,0.00192218403429,0.00192218403429,173
crispron_xiang_luo,k3_CTA,global_kmer_frequency,0.00190806821067,0,0.00190806821067,0.00190806821067,174
crispron_xiang_luo,k3_ATC,global_kmer_frequency,0.00183305526341,0,0.00183305526341,0.00183305526341,175
crispron_xiang_luo,k3_CCT,global_kmer_frequency,0.00181768771822,0,0.00181768771822,0.00181768771822,176
crispron_xiang_luo,k3_GTA,global_kmer_frequency,0.00175782652314,0,0.00175782652314,0.00175782652314,177
crispron_xiang_luo,guide_pos_6_C,spacer_position_one_hot,0.00174706892103,0,0.00174706892103,0.00174706892103,178
crispron_xiang_luo,k3_TCT,global_kmer_frequency,0.00139669371333,0,0.00139669371333,0.00139669371333,179
crispron_xiang_luo,gc_full,gc_regional_and_skew,0,0,0,0,180
crispron_xiang_luo,k2_AA,global_kmer_frequency,0,0,0,0,181
crispron_xiang_luo,k2_AC,global_kmer_frequency,0,0,0,0,182
crispron_xiang_luo,k2_AG,global_kmer_frequency,0,0,0,0,183
crispron_xiang_luo,k2_AT,global_kmer_frequency,0,0,0,0,184
crispron_xiang_luo,k2_CA,global_kmer_frequency,0,0,0,0,185
crispron_xiang_luo,k2_CC,global_kmer_frequency,0,0,0,0,186
crispron_xiang_luo,k2_CG,global_kmer_frequency,0,0,0,0,187
crispron_xiang_luo,k2_CT,global_kmer_frequency,0,0,0,0,188
crispron_xiang_luo,k2_GA,global_kmer_frequency,0,0,0,0,189
crispron_xiang_luo,k2_GC,global_kmer_frequency,0,0,0,0,190
crispron_xiang_luo,k2_GG,global_kmer_frequency,0,0,0,0,191
crispron_xiang_luo,k2_GT,global_kmer_frequency,0,0,0,0,192
crispron_xiang_luo,k2_TA,global_kmer_frequency,0,0,0,0,193
crispron_xiang_luo,k2_TC,global_kmer_frequency,0,0,0,0,194
crispron_xiang_luo,k2_TG,global_kmer_frequency,0,0,0,0,195
crispron_xiang_luo,k2_TT,global_kmer_frequency,0,0,0,0,196
crispron_xiang_luo,pyrimidine_content,global_nucleotide_composition,0,0,0,0,197
deepspcas9,guide_pos_19_G,spacer_position_one_hot,0.0705999461793,0,0.0705999461793,0.0705999461793,1
deepspcas9,dinuc_TT,global_dinucleotide_frequency,0.0480864957482,0,0.0480864957482,0.0480864957482,2
deepspcas9,guide_pos_18_T,spacer_position_one_hot,0.0409985120536,0,0.0409985120536,0.0409985120536,3
deepspcas9,guide_pos_17_C,spacer_position_one_hot,0.0259752113868,0,0.0259752113868,0.0259752113868,4
deepspcas9,guide_pos_18_A,spacer_position_one_hot,0.0204885552606,0,0.0204885552606,0.0204885552606,5
deepspcas9,is_optimal_gc,gc_regional_and_skew,0.0190921667726,0,0.0190921667726,0.0190921667726,6
deepspcas9,k3_complexity,global_kmer_entropy_complexity,0.0186325385949,0,0.0186325385949,0.0186325385949,7
deepspcas9,guide_pos_19_A,spacer_position_one_hot,0.0149848312606,0,0.0149848312606,0.0149848312606,8
deepspcas9,guide_pos_16_A,spacer_position_one_hot,0.0142167354076,0,0.0142167354076,0.0142167354076,9
deepspcas9,guide_pos_17_G,spacer_position_one_hot,0.0127695162835,0,0.0127695162835,0.0127695162835,10
deepspcas9,guide_pos_0_C,spacer_position_one_hot,0.0122067740278,0,0.0122067740278,0.0122067740278,11
deepspcas9,guide_pos_17_A,spacer_position_one_hot,0.0120359994476,0,0.0120359994476,0.0120359994476,12
deepspcas9,freq_T,global_nucleotide_composition,0.0119205648725,0,0.0119205648725,0.0119205648725,13
deepspcas9,guide_pos_13_G,spacer_position_one_hot,0.0115372940654,0,0.0115372940654,0.0115372940654,14
deepspcas9,guide_pos_16_T,spacer_position_one_hot,0.0114799709284,0,0.0114799709284,0.0114799709284,15
deepspcas9,guide_pos_2_C,spacer_position_one_hot,0.0110587011399,0,0.0110587011399,0.0110587011399,16
deepspcas9,guide_pos_19_C,spacer_position_one_hot,0.0105479404237,0,0.0105479404237,0.0105479404237,17
deepspcas9,guide_pos_17_T,spacer_position_one_hot,0.00938367342205,0,0.00938367342205,0.00938367342205,18
deepspcas9,guide_pos_12_A,spacer_position_one_hot,0.00886557120394,0,0.00886557120394,0.00886557120394,19
deepspcas9,guide_pos_9_A,spacer_position_one_hot,0.0082280114402,0,0.0082280114402,0.0082280114402,20
deepspcas9,guide_pos_18_C,spacer_position_one_hot,0.00820658994074,0,0.00820658994074,0.00820658994074,21
deepspcas9,guide_pos_19_T,spacer_position_one_hot,0.00754957264113,0,0.00754957264113,0.00754957264113,22
deepspcas9,guide_pos_16_G,spacer_position_one_hot,0.00729207776755,0,0.00729207776755,0.00729207776755,23
deepspcas9,gc_guide,gc_regional_and_skew,0.007184013447,0,0.007184013447,0.007184013447,24
deepspcas9,guide_pos_18_G,spacer_position_one_hot,0.00714540586852,0,0.00714540586852,0.00714540586852,25
deepspcas9,k3_TTT,global_kmer_frequency,0.00708105591097,0,0.00708105591097,0.00708105591097,26
deepspcas9,k3_GGG,global_kmer_frequency,0.00684251540245,0,0.00684251540245,0.00684251540245,27
deepspcas9,k3_ATT,global_kmer_frequency,0.00654610106435,0,0.00654610106435,0.00654610106435,28
deepspcas9,guide_pos_15_T,spacer_position_one_hot,0.00622819653997,0,0.00622819653997,0.00622819653997,29
deepspcas9,guide_pos_12_C,spacer_position_one_hot,0.00621876568111,0,0.00621876568111,0.00621876568111,30
deepspcas9,guide_pos_10_A,spacer_position_one_hot,0.00621389291096,0,0.00621389291096,0.00621389291096,31
deepspcas9,k3_CTT,global_kmer_frequency,0.00621299279426,0,0.00621299279426,0.00621299279426,32
